ï»¿ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Tenure_Years,Tenure_Months,Total_Spend,Total_Purchases,Customer_Type,Family_Size,Campaign_Acceptance_Rate
5524,1957,Graduation,Single,58138,0,0,2012-04-09,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,68,13,4,1617.00,25,High-income,1,0.00
2174,1954,Graduation,Single,46344,1,1,2014-08-03,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,71,11,0,27.00,6,High-income,3,0.00
4141,1965,Graduation,Married,71613,0,0,2013-08-21,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,60,12,0,776.00,21,High-income,2,0.00
6182,1984,Graduation,Married,26646,1,0,2014-10-02,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,41,10,10,53.00,8,Medium-income,3,0.00
5324,1981,PhD,Married,58293,1,0,2014-01-19,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,44,11,7,422.00,19,High-income,3,0.00
7446,1967,Master,Married,62513,0,1,2013-09-09,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,58,11,11,716.00,22,High-income,3,0.00
965,1971,Graduation,Divorced/Widowed,55635,0,1,2012-11-13,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,54,12,9,590.00,21,High-income,2,0.00
6177,1985,PhD,Married,33454,1,0,2013-08-05,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,40,12,0,169.00,10,Medium-income,3,0.00
4855,1974,PhD,Married,30351,1,0,2013-06-06,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,51,12,2,46.00,6,Medium-income,3,0.00
5899,1950,PhD,Married,5648,1,1,2014-03-13,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,75,11,5,49.00,2,Low-income,4,20.00
387,1976,Basic,Married,7500,0,0,2012-11-13,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,49,12,9,61.00,6,Low-income,2,0.00
