"ï»¿Customer ID","Subscription Length (Months)","Customer Satisfaction Score (1-10)","Daily Watch Time (Hours)","Engagement Rate (1-10)","Device Used Most Often","Genre Preference",Region,"Payment History (On-Time/Delayed)","Subscription Plan","Churn Status (Yes/No)","Support Queries Logged",Age,"Monthly Income ($)","Promotional Offers Used","Number of Profiles Created",Churn_Flag,AvgWatchPerProfile,Income_bracket,Age_group
C00001,12,10,4.85,4,Tablet,Action,Europe,On-Time,Basic,No,10,33,6250,5,2,0,2.43,Medium,Young
C00002,12,8,1.75,9,Laptop,Thriller,Europe,On-Time,Basic,Yes,9,28,7018,1,5,1,0.35,High,Young
C00003,3,4,2.75,9,"Smart TV",Comedy,Asia,On-Time,Premium,Yes,3,18,1055,1,5,1,0.55,Low,Teen
C00004,3,7,3,9,"Smart TV",Drama,Europe,Delayed,Premium,No,5,32,6707,5,4,0,0.75,Medium,Young
C00005,24,2,1.37,5,Mobile,Drama,"North America",On-Time,Standard,Yes,2,59,1506,3,5,1,0.27,Low,Senior
C00006,3,4,4.95,3,Tablet,Romance,Africa,Delayed,Basic,Yes,7,69,5581,4,3,1,1.65,Medium,Senior
C00007,12,4,0.71,3,Tablet,Thriller,Africa,Delayed,Standard,No,3,25,2238,2,3,0,0.24,Low,Young
C00008,6,5,3.54,2,Laptop,Romance,"South America",On-Time,Standard,Yes,4,49,3630,5,3,1,1.18,Medium,Adult
C00009,6,9,3.79,1,Laptop,Drama,Africa,On-Time,Basic,Yes,6,27,4535,1,4,1,0.95,Medium,Young
C00010,3,6,3.61,6,Laptop,Action,"North America",On-Time,Premium,No,0,56,7395,2,1,0,3.61,High,Senior
C00011,1,9,2.88,9,Laptop,Sci-Fi,"North America",Delayed,Basic,No,3,27,1660,0,2,0,1.44,Low,Young
C00012,6,7,0.78,6,Desktop,Thriller,Europe,On-Time,Basic,No,3,44,9436,0,5,0,0.16,High,Adult
C00013,3,3,1.17,9,Laptop,Romance,Asia,Delayed,Premium,No,8,70,4582,0,3,0,0.39,Medium,Senior
C00014,1,2,2.7,3,Tablet,Comedy,"South America",Delayed,Standard,No,5,62,3258,2,1,0,2.70,Medium,Senior
C00015,6,3,2.01,6,"Smart TV",Romance,Asia,Delayed,Premium,Yes,7,36,7283,2,1,1,2.01,High,Adult
C00016,3,1,0.77,10,Tablet,Sci-Fi,Africa,On-Time,Premium,Yes,5,27,4807,4,5,1,0.15,Medium,Young
C00017,6,2,0.78,2,Laptop,Drama,Asia,Delayed,Basic,Yes,10,43,9913,3,1,1,0.78,High,Adult
C00018,3,3,4.82,2,Laptop,Action,Africa,On-Time,Standard,No,3,60,7265,5,3,0,1.61,High,Senior
C00019,1,9,1.08,7,"Smart TV",Sci-Fi,Asia,Delayed,Basic,Yes,9,56,1229,0,4,1,0.27,Low,Senior
C00020,6,2,4.27,9,Desktop,Romance,Europe,Delayed,Basic,Yes,6,48,6091,4,2,1,2.14,Medium,Adult
C00021,6,3,4.91,3,Tablet,Action,Asia,On-Time,Premium,Yes,3,70,5614,0,4,1,1.23,Medium,Senior
C00022,12,4,3.56,6,Tablet,Drama,Africa,On-Time,Basic,Yes,6,44,8947,3,4,1,0.89,High,Adult
C00023,24,7,0.81,1,Desktop,Documentary,"North America",On-Time,Premium,Yes,7,67,6720,3,5,1,0.16,Medium,Senior
C00024,24,5,3.36,8,Tablet,Sci-Fi,Asia,On-Time,Standard,No,0,43,6368,1,5,0,0.67,Medium,Adult
C00025,6,2,3.11,5,Laptop,Romance,Africa,Delayed,Premium,No,4,55,7359,0,5,0,0.62,High,Adult
C00026,1,6,0.77,10,"Smart TV",Thriller,"North America",Delayed,Basic,No,5,64,3295,5,1,0,0.77,Medium,Senior
C00027,24,9,4.4,3,Desktop,Drama,Europe,Delayed,Standard,No,9,36,8345,2,1,0,4.40,High,Adult
C00028,3,2,2.11,10,"Smart TV",Thriller,"North America",Delayed,Standard,No,0,23,8582,5,3,0,0.70,High,Young
C00029,12,10,0.92,9,Laptop,Drama,Africa,Delayed,Basic,Yes,6,26,7472,2,1,1,0.92,High,Young
C00030,1,7,2.07,9,Laptop,Drama,Asia,Delayed,Basic,Yes,10,43,6153,0,5,1,0.41,Medium,Adult
C00031,12,8,1.41,1,Desktop,Action,Africa,On-Time,Premium,Yes,7,20,6097,1,5,1,0.28,Medium,Young
